,long,lat,group,order,region,subregion,sev_2018,sev_2019
64743,-77.44670105,39.96953583,2213,64743,pennsylvania,adams,,
64744,-77.42951965,39.98672485,2213,64744,pennsylvania,adams,,
64745,-77.37221527,40.00391388,2213,64745,pennsylvania,adams,,
64746,-77.32064819,40.01537323,2213,64746,pennsylvania,adams,,
64747,-77.23471069,40.02683258,2213,64747,pennsylvania,adams,,
64748,-77.18887329,40.03256226,2213,64748,pennsylvania,adams,,
64749,-77.17741394,40.04975128,2213,64749,pennsylvania,adams,,
64750,-77.13730621,40.06693649,2213,64750,pennsylvania,adams,,
64751,-77.09146881,40.04975128,2213,64751,pennsylvania,adams,,
64752,-77.06855774,40.02683258,2213,64752,pennsylvania,adams,,
64753,-77.02845001,40.01537323,2213,64753,pennsylvania,adams,,
64754,-77.01125336,39.99818039,2213,64754,pennsylvania,adams,,
64755,-76.98261261,39.96380615,2213,64755,pennsylvania,adams,,
64756,-76.97688293,39.91796875,2213,64756,pennsylvania,adams,,
64757,-76.97688293,39.88932419,2213,64757,pennsylvania,adams,,
64758,-76.97688293,39.87213516,2213,64758,pennsylvania,adams,,
64759,-76.96541595,39.87213516,2213,64759,pennsylvania,adams,,
64760,-76.96541595,39.860672,2213,64760,pennsylvania,adams,,
64761,-76.96541595,39.84921646,2213,64761,pennsylvania,adams,,
64762,-77.01125336,39.84348679,2213,64762,pennsylvania,adams,,
64763,-76.99979401,39.83202744,2213,64763,pennsylvania,adams,,
64764,-77.00552368,39.72889328,2213,64764,pennsylvania,adams,,
64765,-77.22898102,39.72889328,2213,64765,pennsylvania,adams,,
64766,-77.44670105,39.72889328,2213,64766,pennsylvania,adams,,
64767,-77.4581604,39.96380615,2213,64767,pennsylvania,adams,,
64768,-77.44670105,39.96953583,2213,64768,pennsylvania,adams,,
64770,-80.14533997,40.67427444,2214,64770,pennsylvania,allegheny,,
64771,-79.69843292,40.67427444,2214,64771,pennsylvania,allegheny,,
64772,-79.7041626,40.63416672,2214,64772,pennsylvania,allegheny,,
64773,-79.74427032,40.61124802,2214,64773,pennsylvania,allegheny,,
64774,-79.75572205,40.59978867,2214,64774,pennsylvania,allegheny,,
64775,-79.7671814,40.58259964,2214,64775,pennsylvania,allegheny,,
64776,-79.7671814,40.56541061,2214,64776,pennsylvania,allegheny,,
64777,-79.74999237,40.55395126,2214,64777,pennsylvania,allegheny,,
64778,-79.72134399,40.5482254,2214,64778,pennsylvania,allegheny,,
64779,-79.70988464,40.53103638,2214,64779,pennsylvania,allegheny,,
64780,-79.7041626,40.50811768,2214,64780,pennsylvania,allegheny,,
64781,-79.7041626,40.4336319,2214,64781,pennsylvania,allegheny,,
64782,-79.71561432,40.4107132,2214,64782,pennsylvania,allegheny,,
64783,-79.73854065,40.39352417,2214,64783,pennsylvania,allegheny,,
64784,-79.77291107,40.38779831,2214,64784,pennsylvania,allegheny,,
64785,-79.77864838,40.35341644,2214,64785,pennsylvania,allegheny,,
64786,-79.78437805,40.29039001,2214,64786,pennsylvania,allegheny,,
64787,-79.79010773,40.26747131,2214,64787,pennsylvania,allegheny,,
64788,-79.79582977,40.24455643,2214,64788,pennsylvania,allegheny,,
64789,-79.78437805,40.23309708,2214,64789,pennsylvania,allegheny,,
64790,-79.8588562,40.19298935,2214,64790,pennsylvania,allegheny,,
64791,-79.89323425,40.19871902,2214,64791,pennsylvania,allegheny,,
64792,-79.95053101,40.22163773,2214,64792,pennsylvania,allegheny,,
64793,-79.95626068,40.23309708,2214,64793,pennsylvania,allegheny,,
64794,-79.95626068,40.23882675,2214,64794,pennsylvania,allegheny,,
64795,-79.93334198,40.24455643,2214,64795,pennsylvania,allegheny,,
64796,-79.91615295,40.2502861,2214,64796,pennsylvania,allegheny,,
64797,-79.9276123,40.25601578,2214,64797,pennsylvania,allegheny,,
