,isolate,fungicide,Estimate,Std..Error,Lower,Upper,region
1,18SG03iv,Tebuconazole,0.218312359,0.054272006,0.105102938,0.33152178,South
2,18SG04ii,Tebuconazole,0.196460044,0.046024185,0.100455276,0.292464812,South
3,18SG05i,Tebuconazole,0.112577664,0.031281973,0.047324612,0.177830715,South
4,18SG07i,Tebuconazole,0.084832534,0.028565826,0.025245264,0.144419803,South
5,18SG09iii,Tebuconazole,0.223335665,0.053014991,0.112748333,0.333922998,South
6,18SG10iii,Tebuconazole,0.180241864,0.073429548,0.027070512,0.333413217,South
7,18SG120i,Tebuconazole,0.247170253,0.020414109,0.204587168,0.289753338,North
8,18SG12i,Tebuconazole,0.163976391,0.090555039,-0.024918111,0.352870892,South
9,18SG132i,Tebuconazole,0.079150048,0.034426004,0.007338662,0.150961434,North
10,18SG135iv,Tebuconazole,0.182666083,0.020727985,0.139428263,0.225903902,North
11,18SG137iii,Tebuconazole,0.24535708,0.084231488,0.069653274,0.421060886,North
12,18SG138ii,Tebuconazole,0.154111003,0.025820378,0.100250638,0.207971369,North
13,18SG153i,Tebuconazole,0.357079682,0.091840323,0.165504124,0.548655239,North
14,18SG161iii,Tebuconazole,0.388367852,0.509828491,-0.675115745,1.451851449,North
15,18SG168iii,Tebuconazole,0.474911461,0.112466325,0.240310817,0.709512105,North
16,18SG16ii,Tebuconazole,0.240271082,0.035549563,0.166115993,0.31442617,South
17,18SG178ii,Tebuconazole,0.36388194,0.051886902,0.255647759,0.472116122,North
18,18SG17iii,Tebuconazole,0.160444835,0.035996117,0.085358252,0.235531419,South
19,18SG180ii,Tebuconazole,0.296471996,0.079015286,0.131648999,0.461294994,North
20,18SG19i,Tebuconazole,0.742295214,1.124094078,-1.602523944,3.087114372,South
21,18SG32i,Tebuconazole,0.278777481,0.279090221,-0.303394518,0.86094948,Central
22,18SG34iii,Tebuconazole,0.295134025,0.050080979,0.190666934,0.399601116,Central
23,18SG49iii,Tebuconazole,0.171379221,0.047877483,0.07150854,0.271249901,Central
24,18SG58ii,Tebuconazole,0.178102854,0.020778293,0.134760095,0.221445613,Central
25,18SG60i,Tebuconazole,0.099962675,0.019852466,0.058551157,0.141374192,Central
26,18SG72iii,Tebuconazole,0.208249363,0.03415059,0.13701248,0.279486246,Central
27,18SG75iii,Tebuconazole,0.206200813,0.030144492,0.143320505,0.269081121,Central
28,18SG85i,Tebuconazole,0.157867721,0.058472944,0.035895296,0.279840145,Central
29,18SG91i,Tebuconazole,0.420744204,0.058698885,0.298300476,0.543187933,Central
30,18SG94iii,Tebuconazole,0.195607628,0.020455199,0.152938831,0.238276426,Central
31,18SG03iv,Metconazole,0.028107457,0.006769736,0.013986036,0.042228879,South
32,18SG04ii,Metconazole,0.032218624,0.007712774,0.01613006,0.048307188,South
33,18SG05i,Metconazole,0.01449888,0.005362981,0.003311898,0.025685861,South
34,18SG07i,Metconazole,0.018369884,0.002552862,0.013044707,0.023695062,South
35,18SG09iii,Metconazole,0.046769675,0.014251613,0.017041332,0.076498019,South
36,18SG10iii,Metconazole,0.020987296,0.00587601,0.008730155,0.033244438,South
37,18SG120i,Metconazole,0.043602846,0.002070346,0.03928418,0.047921511,North
38,18SG12i,Metconazole,0.009678029,0.000831184,0.007944209,0.01141185,South
39,18SG132i,Metconazole,0.014389438,0.003015751,0.008098691,0.020680185,North
40,18SG135iv,Metconazole,0.034607968,0.00397464,0.026317013,0.042898923,North
41,18SG137iii,Metconazole,0.028660769,0.006221313,0.015683338,0.0416382,North
42,18SG138ii,Metconazole,0.033832716,0.005965032,0.021389878,0.046275554,North
43,18SG153i,Metconazole,0.032524742,0.006701466,0.018545729,0.046503756,North
44,18SG161iii,Metconazole,0.016152611,0.005071106,0.00557447,0.026730753,North
45,18SG168iii,Metconazole,0.073276716,0.020799797,0.029889099,0.116664333,North
46,18SG16ii,Metconazole,0.037534468,0.00726425,0.022381509,0.052687427,South
47,18SG178ii,Metconazole,0.043685497,0.009062295,0.02478188,0.062589114,North
48,18SG17iii,Metconazole,0.02144833,0.002873139,0.015455068,0.027441592,South
49,18SG180ii,Metconazole,0.051560704,0.024702452,3.23E-05,0.103089116,North
50,18SG19i,Metconazole,0.017017734,0.003923052,0.008834391,0.025201078,South
51,18SG32i,Metconazole,0.071207567,0.038490696,-0.009082617,0.151497752,Central
52,18SG34iii,Metconazole,0.026456262,0.004354916,0.017372067,0.035540457,Central
53,18SG49iii,Metconazole,0.020807642,0.00388853,0.012696311,0.028918973,Central
54,18SG58ii,Metconazole,0.02263057,0.002873295,0.016636981,0.028624159,Central
55,18SG60i,Metconazole,0.021269358,0.002380437,0.016303853,0.026234863,Central
56,18SG72iii,Metconazole,0.02237861,0.002483766,0.017197565,0.027559655,Central
57,18SG75iii,Metconazole,0.026712117,0.005789859,0.014634682,0.038789552,Central
58,18SG85i,Metconazole,0.020952455,0.002177157,0.016410985,0.025493924,Central
59,18SG91i,Metconazole,0.036795114,0.008356946,0.01936283,0.054227399,Central
60,18SG94iii,Metconazole,0.026534188,0.003334209,0.019579151,0.033489226,Central
